atom,orbital,Z,epsilon,npts,r_core_min,prob_rel_cut,alpha,fa_max_abs,fa_r_at_max,fa_tail_abs,fa_r_tail,fa_rms_P,fa_mean_P,fa_p99_abs,fa_Zeff_tail_err,cache_present,cache_max_abs,cache_r_at_max,cache_tail_abs,cache_r_tail,cache_rms_P,cache_mean_P,cache_p99_abs,cache_Zeff_tail_err
Si,2p,14,-4.2560538,93,0.5,1e-06,0.6666666666666666,1.5708661430275384,3.4215081525310835,1.5708661430275384,3.4215081525310835,0.07000156994609875,0.06728346035463217,1.4602972959502858,0.0009336939227608809,1,1.5684538980247709,3.4215081525310835,1.5684538980247709,3.4215081525310835,0.22997905233011054,0.22750516721292233,1.4576139019112986,0.0
Si,3p,14,-0.2971145,161,0.5,1e-06,0.6666666666666666,12.483290351337441,0.706524213516131,0.0045939169426806314,14.034382715043305,0.22106400014702224,0.17992760776846253,7.336709980950241,0.0009336939227608809,1,13.155874750912378,0.706524213516131,0.004444285181769536,14.034382715043305,0.10341565358116017,0.08215298955761059,6.906967956099871,0.0
P,1s,15,-79.9697149,21,0.5,1e-06,0.6666666666666666,27.883317768574912,0.7676874599582125,27.883317768574912,0.7676874599582125,8.694795515718429,-8.064329141417979,27.508546218823117,0.0010055601820955218,1,27.61883725115119,0.7676874599582125,27.61883725115119,0.7676874599582125,8.261439762822803,-7.568490157670609,27.24194540826901,1.7763568394002505e-15
P,2s,15,-7.511096,81,0.5,1e-06,0.6666666666666666,2.008570813863571,2.667137406346789,2.008570813863571,2.667137406346789,0.15420569439118584,-0.13833383181208023,1.8438033991661604,0.0010055601820955218,1,2.002806640975783,2.667137406346789,2.002806640975783,2.667137406346789,0.06276727965919392,0.05158297352639085,1.8375248004776705,1.7763568394002505e-15
P,3s,15,-0.6964161,141,0.5,1e-06,0.6666666666666666,17.230518370396403,0.6502339693183983,0.02095463149220278,9.266299523404324,0.30563941502020936,0.2562149939862982,7.161665112251757,0.0010055601820955218,1,16.662644830552797,0.6502339693183983,0.02096516606167953,9.266299523404324,0.1880577011153745,0.15794095992445145,7.292168288990295,1.7763568394002505e-15
P,2p,15,-5.4009589,87,0.5,1e-06,0.6666666666666666,1.6121291816394958,3.0208661638239036,1.6121291816394958,3.0208661638239036,0.06765634805868995,0.0488677223169778,1.499146754100767,0.0010055601820955218,1,1.6092075884600918,3.0208661638239036,1.6092075884600918,3.0208661638239036,0.2565186884746714,0.255635370842493,1.495908252564638,1.7763568394002505e-15
P,3p,15,-0.3917087,153,0.5,1e-06,0.6666666666666666,62.6839121839589,0.6368766184066359,0.0036084905379252796,11.887171349956482,0.23449232478578044,0.18733735244809885,6.968341654622159,0.0010055601820955218,1,62.01077390588282,0.6368766184066359,0.0034839385602046247,11.887171349956482,0.11279653928085653,0.08787135248942285,6.958779857831647,1.7763568394002505e-15
S,1s,16,-92.0044503,17,0.5,1e-06,0.6666666666666666,28.412695802427727,0.706524213516131,28.412695802427727,0.706524213516131,11.587487000931384,-10.987373650787399,28.10058208040595,0.001077644698717961,1,28.098921328827878,0.706524213516131,28.098921328827878,0.706524213516131,11.127947667609282,-10.481391524529535,27.784807855491128,0.0
S,2s,16,-9.0042897,78,0.5,1e-06,0.6666666666666666,3.2862099632208857,2.5061227744685537,3.2862099632208857,2.5061227744685537,0.15858282530434833,-0.13144722400955444,3.066152442755998,0.001077644698717961,1,3.2804178585738573,2.5061227744685537,3.2804178585738573,2.5061227744685537,0.10786100541577633,0.09679712799156823,3.059849306147237,0.0
S,3s,16,-0.8795274,136,0.5,1e-06,0.6666666666666666,13.974779199699107,0.5861353420453874,0.09464838711260481,8.352848200685248,0.28599678408353973,0.22564834265123002,9.457222069742034,0.001077644698717961,1,14.55356580195535,0.5861353420453874,0.09465753018231948,8.352848200685248,0.1643265632589767,0.12557549551377917,9.063713580186068,0.0
